identifier,village_name,lat,lon,viirs_radiance,solar_radiation_j,landuse_code,terrain_slope_deg,ndvi,worldpop_density,rainfall_mm
,Igba,7.003345,2.580256,0.34083334,5.289347967454427E8,30,0.2793207,0.54830354,1.878398,1362.718768954277
,Location #17015,10.951331,2.815651,0.3,6.51455621578776E8,40,0.7780532,0.27709022,0.8645649,993.8887461423874
,Location #17011,10.973378,2.483669,0.3075,6.49611465078776E8,40,0.41729507,0.33731762,0.14552157,1063.233603913337
,Location #16971,10.700217,2.731104,0.32,6.451241469121094E8,40,0.88709277,0.2699126,0.4571393,1031.6942769289017
,Location #17030,10.624613,2.739809,0.27,6.425656762454427E8,40,0.078639135,0.26563326,0.57594514,1074.0114043354988
,Gah Gbérou,9.420984,2.924613,0.28416666,6.031638992454427E8,20,1.0461137,0.39907235,0.27481383,1225.552386879921
,Sirarou,9.587276,2.685659,0.34333333,6.090370549121094E8,40,1.2940756,0.31797567,0.4816522,1231.2489624023438
,Location #17017,9.882439,1.848649,0.315,6.16487199078776E8,20,1.3346182,0.38975424,0.5684799,1335.9583718776703
,Ouara,10.65473,2.681476,0.33666667,6.451241469121094E8,40,0.3145845,0.27549517,0.44212776,1065.0419101119041
,Lolo,11.283367,3.035465,0.3475,6.551170242454427E8,40,0.97277004,0.29972625,1.2527835,902.8665931224823
,BOWO,10.070048,3.056137,0.30583334,6.326000749121094E8,40,0.69993967,0.31461808,0.3695735,1209.6427211761475
,Sori,10.74923,2.799883,0.29333332,6.48072943078776E8,40,0.7179698,0.2858038,0.3197331,1062.0449085235596
,Goumori,11.10194,2.317138,0.32166666,6.51119683078776E8,20,0.8537775,0.3500552,0.5434979,1052.0477209687233
,Location #16996,11.552203,2.359486,0.29166666,6.542868282454427E8,40,0.47959077,0.316573,0.3793793,931.9190949499607
,Location #16975,11.164863,2.220325,0.29833332,6.508290629121094E8,40,1.2378703,0.31869572,0.55223244,1070.1960015147924
,Basso,10.551302,3.64634,0.29583335,6.483706699121094E8,20,0.62328094,0.35438496,0.70679104,1238.6945519447327
,Location #17032,11.068973,2.07038,0.355,6.485654614121094E8,20,0.22069208,0.35089293,0.29338154,1065.8240774422884
,Bouroubourou,11.435249,2.414722,0.3275,6.539109929121094E8,40,0.5410203,0.27678543,0.72759664,973.7678631544113
,Location #16995,11.110456,2.563526,0.325,6.517771214121094E8,40,0.24861768,0.2819982,0.20147565,1037.5166798830032
,Location #17014,11.047955,2.137601,0.2775,6.467593167454427E8,40,0.50061,0.35108593,0.2887838,1108.7394226491451
,Location #16999,11.092426,2.313852,0.30916667,6.51119683078776E8,20,0.6487541,0.34483856,0.47453666,1068.3907360732555
,Ichaagba Adoundoun,7.158112,2.60388,0.45333332,5.378472564121094E8,20,0.24460652,0.4691537,2.4873393,1291.917060405016
,Péonga,10.898009,3.73632,0.30333334,6.52828727078776E8,40,0.45677102,0.27377364,0.41741335,1154.800898551941
,Kanyi,10.803964,3.677133,0.27333334,6.515493462454427E8,30,0.7991175,0.32116845,0.14480567,1204.0885946154594
,Boro,10.345528,2.950335,0.34416667,6.360325607454427E8,20,0.6077465,0.4244588,0.4015407,1147.1880915910006
