village_name,longitude,latitude,population
Dassa-Zoumé,2.1844172986707435,7.653842689275963,70
Za-Tanta,2.2089631290670684,7.317319835836702,49
Koumagou,1.133078754510882,10.1279271193992,88
Tori-Bossito,2.1258122836443634,6.564229412454474,36
Kouandé,1.7943028903714187,10.197129391802378,31
Gounarou,2.9020238714065565,10.929074149793308,52
Kouandé,1.5854414554259988,9.96449373695049,119
Tabota,1.0544266794206094,10.407838179716787,72
Beket,1.9896924703669485,10.253886454945402,253
Location #10464,2.6536006408245663,6.627820904506404,75
Cobli,1.0094337966291809,10.525345689392063,52
Ita-Djebou,2.6024210624864437,6.8359331861990045,108
Kouandé,1.7517510028327063,10.407536802990863,98
Location #15588,1.7698504696344224,9.289067315001251,41
Kalalé,3.2843276752077526,10.159342072636301,165
Koutangou,1.0751208575928746,10.373366857265625,95
Lokossa,1.898543957851769,6.763775980569624,46
Agouna,1.7255125221710077,7.555872817019452,67
Kétou,2.436360586814992,7.377918977275347,59
Banamè,2.382409658130407,7.225148437985219,109
Dogbo,1.8053882563839998,6.8002457316704765,54
Tchayagbangba,2.616844414579315,8.165892448733697,155
Savalou,1.9870781665696653,7.643691923262379,54
Lobogo,1.8605788351400965,6.730421830726367,57
Location #13045,2.4683547671383934,9.83047496636429,57
Ahouango,2.0010328295287665,6.552741914390623,52
Location #14572,1.719138781628841,9.909476541244803,49
Pobè,2.716702005278326,7.0917759117256916,237
Parakou,2.6678185322718706,9.387303529267006,211
Kalalé,3.6347724801231815,10.444005663662697,235
Djantchè Bâtè,3.6792644202750364,10.663185340088953,41
Kalalé,3.2638642704487517,10.469165115508275,108
Location #6971,0.8516401531771329,10.49238898546586,129
Location #9068,2.419194779518492,11.509524565305036,90
Grand-Popo,1.7841105479337878,6.428035120577414,75
Boukombé,1.126707731183423,10.197111830111027,253
Location #12929,2.6344948255036056,8.07885653969572,57
Ten-Dora,2.3345615705067124,10.209244419403728,62
Aledjo-Koura,1.4563251741771233,9.313030582558534,62
Lobogo,1.9312324285853895,6.705755234946337,149
Bohicon,2.0667580273427184,7.134052645432201,278
Ouidah,2.0841466323850746,6.427965811953402,57
Oké-Olou-Ossin,2.6684159497685127,8.215377701113432,26
Location #14934,1.9223770419095463,7.452515275192269,46
Dassa-Zoumé,2.1602997420483154,7.569760904669018,119
Location #4502,1.7767247828982005,10.041344790486262,222
Kandérou,2.52771729568268,11.659986994145227,134
Comè,1.8808343654685356,6.369016166339714,93
Location #5097,2.168567286388551,7.227712492378572,193
Tchalinga,1.4141336804519171,9.797206861274661,188
Savalou,1.6840316669413768,8.125600835169003,317
Anandana,1.388325686486134,9.963740866786942,70
Location #15063,2.523275974901091,7.008780568207044,44
Pobè,2.689034089096405,7.024694653180463,62
Location #15895,1.6467220417609423,9.90903794440524,39
Ouenou,3.2745335933316664,9.809259869964329,90
Ouinhi,2.537148731165878,7.029442164700605,62
Coussi,2.1547822807855788,6.827380780571897,54
Location #6730,2.608006288787808,11.405097745814325,134
Location #15758,0.8493056048036105,10.348548524734463,41
Tchaourou,2.4951477424652873,9.427822969970478,57
Kouporgou,1.1556121908955224,10.238787107471229,72
Zè,2.244883277395802,6.678990972448642,144
Tchaourou,2.920839849947789,9.304122269059718,101
Bopa,1.8573067753505714,6.691837575180886,49
Sanson,2.3574466418938216,9.312398653362715,36
Manta,1.1162786954153123,10.382016178525225,46
Kétou,2.541447788898946,7.253145653319495,113
Malanville,3.1912636128298995,11.62650419517297,113
Location #6483,1.7616520644276377,9.9472675760048,142
Location #11875,0.8670667413786439,10.447419762375132,64
Kalalé,3.2560471376114863,10.37420219126982,217
Zoungou-Pantrossi,2.8529478521153973,10.825934186591558,44
Kpadé,2.9001236931774708,11.011627223002705,106
Sampèto,2.3697038288427974,11.655873529631723,116
Banikoara,2.3931214518017234,11.149405752653967,31
Kouaba,1.2086715984929488,10.19984041866316,46
Location #13750,2.625388798153829,11.597364685090879,52
Location #4223,2.006130791460438,8.432021732261695,240
Location #6962,1.9476262892069587,7.472358040532012,129
Location #12802,1.4445112730725649,9.943847310141514,57
Location #5113,1.7495432053886424,7.5960469813959515,191
Dogbo,1.831759598959798,6.81212287030268,62
Location #14105,1.4680405915001935,9.920777784322318,49
Tchaourou,2.3861886175138745,8.80507915485858,26
Allada,2.046107334357534,6.703890204462058,232
Tori-Bossito,2.0863813118949137,6.519104163455686,80
Tabota,1.0563748042839625,10.401441939491098,101
Kalalé,3.162127029503529,10.080547170977518,75
Location #13506,1.2535082695524054,10.151412982431651,54
Houègbo,2.174993622140422,6.833102587119239,49
Kikira,1.5559958602026325,9.87404275720272,80
Kouarfa,1.4769185292048397,10.491792637470152,108
Ouaké,1.4027053713267894,9.808467620079911,59
Itchanfan,2.6328142477533274,6.96626698296977,82
Tori-Bossito,2.141837261369448,6.569306508922154,134
Location #16165,1.7315111686720444,9.856502683524138,36
Location #7291,2.2650844314244774,7.119558756992485,121
Location #11701,2.87183917540801,11.282614945937867,64
Wanrarou,2.7382152262378647,10.10958154752538,23
Kalalé,3.2213832553690156,10.369409136825308,1626
Ounet,2.379155825049767,11.190857907795051,82
Tchaourou,2.380808224970779,9.212679952337517,54
Oké-Olou-Ossin,2.6711476631914013,8.20783169383899,214
Tchaourou,2.522536854599457,9.123657552209012,137
Kpadé,2.90552720814595,11.025478229765273,26
Nikki,3.3539561437364878,10.033563177673306,49
Location #15925,2.092245536963787,6.436447493851688,55
Tchaourou,3.045092692699449,9.2800715857986,108
Boukombé,1.0405762332083868,10.229693681292213,34
Agbohougoton,2.06867088378534,7.337695029915756,325
El Hadj Halidou Kparou,3.103928881243633,9.369784391314328,77
Doutou,1.9133779880258408,6.580658089237255,72
Zè,2.332889991856751,6.708048692035736,490
Sèmèrè I,1.450119632783112,9.584630237661385,46
Location #12094,1.890975741861223,7.416975001091336,62
Location #16823,3.5465596240365835,10.664049132787918,28
Ouidah,2.074921956157345,6.436415110876209,82
Location #8972,2.1977596672262223,7.3694706036095035,93
Kouandé,1.5750107334702925,10.221895445105135,26
Tchaourou,2.5240425548353977,8.84789469595132,44
Ita-Djebou,2.5875292950127844,6.854819410487565,67
Location #12142,1.7894188277614007,9.152936679146006,62
Kalalé,3.666193403826283,10.587823483799326,80
Savalou,2.017355572454545,7.950563905613604,95
Location #11282,2.4119431418597124,11.475875050935421,67
Kouandé,1.73974534014799,10.4831595182711,64
Bopa,1.9314852166052958,6.626861894882291,49
Cobli,1.1435227497373879,10.525480854127988,28
Houyin-Sègbèya,2.341493385257448,8.151402763734534,121
Kétou,2.6381394131096583,7.436885852851428,41
Ifangni,2.735819481398295,6.676705889904312,59
Houéyogbé,1.8844345378957803,6.469083422637686,144
Location #14732,2.0196308834111116,8.463651664733682,46
Lobogo,1.8870730006806693,6.697462148795158,103
Djidja,1.8619793958860262,7.351684871949955,67
Dassa-Zoumé,2.141625186515421,7.856764809335203,387
Houéyogbé,1.894183055367922,6.458079556736611,62
Cotiakou,1.2706136820989458,10.589867345620108,85
Location #15383,2.3781811830654873,11.597465078069554,44
Ouèssè,2.383041492850077,8.545003702749952,67
Korontière,0.9523383351634424,10.308170080182304,137
Location #14590,0.8278325522181686,10.360026485437908,46
Tchaourou,2.479424144133785,9.079204942785921,52
Tchaourou,2.4607190111217836,9.017977144723364,52
Wassa,1.6385999859931049,9.608610460558346,46
Ifangni,2.733964419011069,6.665641372431138,126
Ayélawadjè,2.587957037877065,6.923199435758246,149
Gogounou,2.9103171869773106,10.84225936860316,59
Ouèssè,2.7340582837460525,8.678617254969716,52
Location #10096,2.7381211777576895,6.898385326719958,77
Location #16921,2.721515913416907,10.611327174808709,26
Kouandé,1.7273312844849307,10.0668555286544,34
Malanville,3.2225871706745215,11.873645592451972,44
Tabota,1.0148846667781237,10.41915420918194,67
Zoungou-Pantrossi,2.9326599697299245,10.72774055046143,44
Kouandé,1.7111340269868094,10.310657904329497,75
Bagou,2.7446119592405367,10.826854700363349,28
Dérassi,3.2991096302439047,10.117701645747628,59
Kandi,2.8249662731341707,11.225036591119759,75
Savalou,1.6840792317958726,8.026958033432615,304
Location #3619,2.592342023354299,11.370974619141984,294
Kandi,2.88182517549943,11.238383120441402,72
Dipoli,0.9953005758333126,10.372480187335535,131
Lobogo,1.926572660736522,6.6841710291374286,54
Natitingou,1.3558415559717722,10.228785331116912,49
Location #11344,2.174198869907442,7.5206335176506,67
Songorogougou,2.3681993338011385,11.257672497423288,31
Lokossa,1.8420580430751763,6.753793617026454,338
Dogbo,1.6974957105857038,6.764379591339401,211
Lohoungbôdjè,2.508491880538372,6.948346657625432,39
Gonri,2.060979597863343,10.224949047084381,46
Location #8334,0.9077820524788229,10.622208982976087,103
Location #16606,2.1877933307648743,11.172520906392418,31
Honhoué,1.8980687883592935,6.529127243546181,75
Okédjia,2.6708929839993663,6.855609294178059,82
Djougou,1.6987101376987004,9.780310383595868,521
Materi,1.1004154462605684,10.688024121031352,54
Pobè,2.6372347085245518,7.096828484842619,82
Location #10262,0.9982747052468562,10.63660224051266,77
Bohicon,2.1541062166629916,7.153019256342158,155
Grand-Popo,1.8436677790677243,6.290788987721659,70
Location #15032,2.691156562290389,10.988953868522321,44
Somè,2.129745022468393,7.2655576333745495,82
Tchaourou,2.552441764889952,9.18110005876807,52
Location #14038,2.801567889348055,10.990640502767132,52
Location #12766,2.094307886630952,8.235050071760687,57
Tori-Bossito,2.1130776472600714,6.51746533523816,384
Donwari,2.8163547943822262,11.214120613741285,36
Gogoro,2.6923888711865245,8.300182603780048,46
